18119	-425	2284
18005	-339	2429
18077	-464	2330
18088	-452	2415
18150	-373	2472
18147	-381	2474
18437	-645	2668
18070	-656	2609
18166	-377	2260
18154	-439	2277
18181	-378	2388
23361	-74	3321
18057	-327	2427
18046	-347	2365
18031	-355	2407
18213	-347	2277
18216	-397	2428
18211	-361	2266
18808	3251	4042
18005	-587	2389
20485	-2302	1623
18079	-228	2357
18002	-287	2270
18074	-239	2341
18069	-262	2425
18034	-289	2461
18083	-222	2362
18042	-310	2389
18078	-252	2401
18083	-244	2396
18087	-258	2372
18026	-333	2424
18088	-229	2371
18086	-255	2401
18084	-224	2344
18029	-327	2437
18090	-215	2360
18089	-209	2361
18088	-224	2366
17940	-355	2439
18093	-235	2360
18091	-241	2362
18090	-211	2365
18089	-256	2392
18092	-210	2393
18049	-318	2362
18092	-232	2365
18085	-189	2353
18089	-206	2405
18089	-225	2339
18096	-222	2369
18015	-296	2351
18051	-325	2370
18102	-214	2350
18109	-228	2346
18102	-272	2398
18066	-325	2376
18092	-292	2385
18100	-277	2398
18092	-295	2393
18088	-306	2386
18115	-211	2360
18119	-242	2362
18123	-240	2369
18121	-240	2362
18090	-302	2454
18119	-261	2419
18091	-310	2388
18071	-317	2271
18032	-557	2288
18045	-344	2352
18027	-358	2431
18106	-369	2367
18084	-306	2453
18106	-257	2416
18072	-330	2449
18097	-289	2443
18110	-264	2414
18096	-288	2434
18090	-290	2446
18000	-373	2468
18059	-358	2432
18018	-380	2450
18049	-362	2370
18004	-395	2429
18045	-373	2388
18045	-360	2388
18036	-374	2371
18066	-343	2418
18084	-476	2428
18110	-462	2447
18080	-477	2418
18080	-489	2410
18105	-494	2429
18091	-462	2330
18120	-469	2411
18095	-454	2368
18086	-472	2307
18082	-472	2321
18086	-474	2315
18148	-752	2503
18037	-617	2407
17986	-630	2442
18132	-256	2330
18141	-240	2338
18262	-219	2333
18130	-263	2268
18149	-812	2571
18141	-798	2549
18199	-1012	2517
18118	-895	2559
18033	-591	2223
18114	-754	2570
18364	-700	2580
18154	-733	2530
18063	-784	2604
17798	-99	2423
18081	-632	2338
17926	-82	2452
18087	-427	2434
18084	-431	2430
18085	-424	2450
18117	-408	2491
17610	-4416	2849
18230	-233	2354
18118	-285	2326
18107	-314	2515
18040	-417	2370
18132	-268	2446
18293	-851	2378
17038	-1156	2700
18107	-465	2431
18103	-458	2427
18103	-479	2423
18088	-472	2425
18098	-456	2416
18112	-438	2446
18087	-453	2434
18077	-474	2428
18098	-449	2427
18121	-438	2427
20289	-2659	1995
18097	-636	2196
20668	-2063	1530
19728	-499	3343
18034	-604	2275
18132	-453	2375
18055	-405	2368
18052	-401	2373
18105	-443	2444
18134	-411	2448
18100	-474	2427
18097	-449	2438
18058	-487	2431
18134	-393	2515
17736	-757	2381
18520	-1003	2568
18126	-686	2257
18051	-614	2210
18133	-395	2488
18078	-452	2419
18059	-461	2425
18103	-451	2440
19753	-565	2429
18085	-476	2417
18092	-458	2401
18091	-476	2400
18090	-469	2391
18071	-472	2423
18089	-457	2389
17925	-542	2320
18202	-742	2574
18077	-631	2351
18084	-475	2421
18080	-471	2428
18083	-473	2427
18098	-472	2430
18090	-487	2425
18081	-476	2422
18071	-503	2373
18088	-481	2418
18103	-474	2448
18089	-454	2341
18087	-461	2349
18092	-457	2350
18086	-459	2352
18078	-493	2443
18100	-483	2414
18077	-495	2373
18107	-481	2393
